name,run.no.in.std.order,run.no,run.no.std.rp,Fill,Glucose,Phosphate,Metals,Strain,Experimenter,Results
31,1,31,1.1,0.7,10,50,-1,A,X,5
54,1,54,1.2,0.7,10,50,-1,A,X,6
74,1,74,1.3,0.7,10,50,-1,A,X,6
27,2,27,2.1,1.2,10,50,-1,A,Y,9
48,2,48,2.2,1.2,10,50,-1,A,Y,11
75,2,75,2.3,1.2,10,50,-1,A,Y,10
14,3,14,3.1,0.7,20,50,-1,A,Y,5
49,3,49,3.2,0.7,20,50,-1,A,Y,4
90,3,90,3.3,0.7,20,50,-1,A,Y,5
19,4,19,4.1,1.2,20,50,-1,A,X,9
62,4,62,4.2,1.2,20,50,-1,A,X,8
77,4,77,4.3,1.2,20,50,-1,A,X,11
29,5,29,5.1,0.7,10,100,-1,A,Y,7
36,5,36,5.2,0.7,10,100,-1,A,Y,6
83,5,83,5.3,0.7,10,100,-1,A,Y,7
20,6,20,6.1,1.2,10,100,-1,A,X,14
42,6,42,6.2,1.2,10,100,-1,A,X,13
69,6,69,6.3,1.2,10,100,-1,A,X,12
28,7,28,7.1,0.7,20,100,-1,A,X,5
43,7,43,7.2,0.7,20,100,-1,A,X,7
67,7,67,7.3,0.7,20,100,-1,A,X,7
5,8,5,8.1,1.2,20,100,-1,A,Y,11
64,8,64,8.2,1.2,20,100,-1,A,Y,12
91,8,91,8.3,1.2,20,100,-1,A,Y,11
1,9,1,9.1,0.7,10,50,1,A,Y,8
38,9,38,9.2,0.7,10,50,1,A,Y,5
73,9,73,9.3,0.7,10,50,1,A,Y,6
16,10,16,10.1,1.2,10,50,1,A,X,12
46,10,46,10.2,1.2,10,50,1,A,X,11
92,10,92,10.3,1.2,10,50,1,A,X,12
10,11,10,11.1,0.7,20,50,1,A,X,7
58,11,58,11.2,0.7,20,50,1,A,X,5
72,11,72,11.3,0.7,20,50,1,A,X,5
23,12,23,12.1,1.2,20,50,1,A,Y,12
41,12,41,12.2,1.2,20,50,1,A,Y,10
95,12,95,12.3,1.2,20,50,1,A,Y,9
15,13,15,13.1,0.7,10,100,1,A,X,7
60,13,60,13.2,0.7,10,100,1,A,X,8
94,13,94,13.3,0.7,10,100,1,A,X,9
2,14,2,14.1,1.2,10,100,1,A,Y,14
61,14,61,14.2,1.2,10,100,1,A,Y,12
76,14,76,14.3,1.2,10,100,1,A,Y,12
7,15,7,15.1,0.7,20,100,1,A,Y,7
35,15,35,15.2,0.7,20,100,1,A,Y,8
93,15,93,15.3,0.7,20,100,1,A,Y,5
4,16,4,16.1,1.2,20,100,1,A,X,13
50,16,50,16.2,1.2,20,100,1,A,X,14
85,16,85,16.3,1.2,20,100,1,A,X,13
6,17,6,17.1,0.7,10,50,-1,B,Y,4
53,17,53,17.2,0.7,10,50,-1,B,Y,5
78,17,78,17.3,0.7,10,50,-1,B,Y,5
25,18,25,18.1,1.2,10,50,-1,B,X,8
39,18,39,18.2,1.2,10,50,-1,B,X,10
65,18,65,18.3,1.2,10,50,-1,B,X,9
8,19,8,19.1,0.7,20,50,-1,B,X,4
57,19,57,19.2,0.7,20,50,-1,B,X,3
70,19,70,19.3,0.7,20,50,-1,B,X,3
32,20,32,20.1,1.2,20,50,-1,B,Y,7
44,20,44,20.2,1.2,20,50,-1,B,Y,8
88,20,88,20.3,1.2,20,50,-1,B,Y,10
26,21,26,21.1,0.7,10,100,-1,B,X,6
34,21,34,21.2,0.7,10,100,-1,B,X,6
96,21,96,21.3,0.7,10,100,-1,B,X,6
9,22,9,22.1,1.2,10,100,-1,B,Y,12
47,22,47,22.2,1.2,10,100,-1,B,Y,10
68,22,68,22.3,1.2,10,100,-1,B,Y,11
17,23,17,23.1,0.7,20,100,-1,B,Y,5
33,23,33,23.2,0.7,20,100,-1,B,Y,4
86,23,86,23.3,0.7,20,100,-1,B,Y,6
22,24,22,24.1,1.2,20,100,-1,B,X,10
55,24,55,24.2,1.2,20,100,-1,B,X,10
71,24,71,24.3,1.2,20,100,-1,B,X,11
24,25,24,25.1,0.7,10,50,1,B,X,7
51,25,51,25.2,0.7,10,50,1,B,X,4
80,25,80,25.3,0.7,10,50,1,B,X,5
21,26,21,26.1,1.2,10,50,1,B,Y,10
37,26,37,26.2,1.2,10,50,1,B,Y,10
89,26,89,26.3,1.2,10,50,1,B,Y,11
12,27,12,27.1,0.7,20,50,1,B,Y,4
40,27,40,27.2,0.7,20,50,1,B,Y,6
79,27,79,27.3,0.7,20,50,1,B,Y,5
13,28,13,28.1,1.2,20,50,1,B,X,11
63,28,63,28.2,1.2,20,50,1,B,X,9
81,28,81,28.3,1.2,20,50,1,B,X,8
3,29,3,29.1,0.7,10,100,1,B,Y,7
52,29,52,29.2,0.7,10,100,1,B,Y,8
82,29,82,29.3,0.7,10,100,1,B,Y,6
18,30,18,30.1,1.2,10,100,1,B,X,13
56,30,56,30.2,1.2,10,100,1,B,X,11
84,30,84,30.3,1.2,10,100,1,B,X,12
11,31,11,31.1,0.7,20,100,1,B,X,6
45,31,45,31.2,0.7,20,100,1,B,X,7
87,31,87,31.3,0.7,20,100,1,B,X,4
30,32,30,32.1,1.2,20,100,1,B,Y,12
59,32,59,32.2,1.2,20,100,1,B,Y,12
66,32,66,32.3,1.2,20,100,1,B,Y,13
